"Number","Method","Time","Count","SelfTime"
"73","org.eclipse.aether.util.ConfigUtils.getBoolean (Lorg/eclipse/aether/RepositorySystemSession;Z[Ljava/lang/String;)Z","4533","4290","4533"
"74","org.eclipse.aether.RepositoryCache.get (Lorg/eclipse/aether/RepositorySystemSession;Ljava/lang/Object;)Ljava/lang/Object;","13322","5173","7326"
"75","org.apache.maven.repository.internal.DefaultVersionResolver$Key.hashCode ()I","882","4261","882"
"76","org.eclipse.aether.resolution.VersionRequest.getTrace ()Lorg/eclipse/aether/RequestTrace;","2921","4277","2921"
"77","org.eclipse.aether.resolution.VersionResult.<init> (Lorg/eclipse/aether/resolution/VersionRequest;)V","2987","4281","2987"
"78","org.eclipse.aether.RequestTrace.newChild (Lorg/eclipse/aether/RequestTrace;Ljava/lang/Object;)Lorg/eclipse/aether/RequestTrace;","5051","5933","5051"
"79","java.lang.String.endsWith (Ljava/lang/String;)Z","14321","60539","14321"
"80","org.eclipse.aether.resolution.VersionResult.setVersion (Ljava/lang/String;)Lorg/eclipse/aether/resolution/VersionResult;","1193","4265","1193"
"81","org.eclipse.aether.RepositorySystemSession.getCache ()Lorg/eclipse/aether/RepositoryCache;","1533","5127","1533"
"82","java.util.List.contains (Ljava/lang/Object;)Z","51629","14352","11935"
"83","org.eclipse.aether.repository.WorkspaceReader.getRepository ()Lorg/eclipse/aether/repository/WorkspaceRepository;","1045","941","884"
"84","org.eclipse.aether.resolution.VersionResult.setRepository (Lorg/eclipse/aether/repository/ArtifactRepository;)Lorg/eclipse/aether/resolution/VersionResult;","129","372","129"
"85","org.eclipse.aether.RepositorySystemSession.getWorkspaceReader ()Lorg/eclipse/aether/repository/WorkspaceReader;","901","1425","901"
"86","org.apache.maven.ReactorReader.findArtifact (Lorg/eclipse/aether/artifact/Artifact;)Ljava/io/File;","38606","3283","5652"
"87","org.apache.maven.artifact.ArtifactUtils.key (Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","37538","4674","15807"
"88","org.apache.maven.RepositoryUtils.toRepos (Ljava/util/List;)Ljava/util/List;","185030","23619","26983"
"89","org.apache.maven.RepositoryUtils.toRepo (Lorg/apache/maven/artifact/repository/ArtifactRepository;)Lorg/eclipse/aether/repository/RemoteRepository;","364653","20087","84490"
"90","org.eclipse.aether.repository.RemoteRepository$Builder.build ()Lorg/eclipse/aether/repository/RemoteRepository;","114815","24704","114815"
"91","org.apache.maven.RepositoryUtils.toPolicy (Lorg/apache/maven/artifact/repository/ArtifactRepositoryPolicy;)Lorg/eclipse/aether/repository/RepositoryPolicy;","69221","40174","36285"
"92","org.eclipse.aether.repository.RepositoryPolicy.<init> (ZLjava/lang/String;Ljava/lang/String;)V","18627","49310","18627"
"93","org.apache.maven.artifact.repository.ArtifactRepositoryPolicy.isEnabled ()Z","9387","54534","9387"
"94","org.apache.maven.artifact.repository.ArtifactRepositoryPolicy.getUpdatePolicy ()Ljava/lang/String;","8523","54504","8523"
"95","org.apache.maven.artifact.repository.ArtifactRepositoryPolicy.getChecksumPolicy ()Ljava/lang/String;","7097","47038","7097"
"96","org.apache.maven.RepositoryUtils.getLayout (Lorg/apache/maven/artifact/repository/ArtifactRepository;)Ljava/lang/String;","19483","20087","12733"
"97","org.apache.maven.artifact.repository.layout.DefaultRepositoryLayout.getId ()Ljava/lang/String;","3477","19790","3477"
"98","org.apache.maven.artifact.repository.MavenArtifactRepository.getLayout ()Lorg/apache/maven/artifact/repository/layout/ArtifactRepositoryLayout;","3960","23335","3960"
"99","org.eclipse.aether.repository.RemoteRepository$Builder.setMirroredRepositories (Ljava/util/List;)Lorg/eclipse/aether/repository/RemoteRepository$Builder;","9025","20019","9025"
"100","org.eclipse.aether.repository.RemoteRepository$Builder.<init> (Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V","11953","24580","11953"
"101","org.apache.maven.artifact.repository.MavenArtifactRepository.getId ()Ljava/lang/String;","14723","48996","14723"
"102","org.eclipse.aether.repository.RemoteRepository$Builder.setReleasePolicy (Lorg/eclipse/aether/repository/RepositoryPolicy;)Lorg/eclipse/aether/repository/RemoteRepository$Builder;","5903","24417","5903"
"103","org.eclipse.aether.repository.RemoteRepository$Builder.setAuthentication (Lorg/eclipse/aether/repository/Authentication;)Lorg/eclipse/aether/repository/RemoteRepository$Builder;","4071","19789","4071"
"104","org.eclipse.aether.repository.RemoteRepository$Builder.setSnapshotPolicy (Lorg/eclipse/aether/repository/RepositoryPolicy;)Lorg/eclipse/aether/repository/RemoteRepository$Builder;","5401","24389","5401"
"105","org.apache.maven.artifact.repository.MavenArtifactRepository.getUrl ()Ljava/lang/String;","5094","27059","5094"
"106","org.apache.maven.RepositoryUtils.toAuthentication (Lorg/apache/maven/artifact/repository/Authentication;)Lorg/eclipse/aether/repository/Authentication;","3683","19725","3683"
"107","org.apache.maven.artifact.repository.MavenArtifactRepository.getProxy ()Lorg/apache/maven/repository/Proxy;","3937","23273","3937"
"108","org.eclipse.aether.repository.RemoteRepository$Builder.setProxy (Lorg/eclipse/aether/repository/Proxy;)Lorg/eclipse/aether/repository/RemoteRepository$Builder;","3836","19772","3836"
"109","org.apache.maven.artifact.repository.MavenArtifactRepository.getMirroredRepositories ()Ljava/util/List;","3937","23334","3937"
"110","org.apache.maven.artifact.repository.MavenArtifactRepository.getReleases ()Lorg/apache/maven/artifact/repository/ArtifactRepositoryPolicy;","4894","26934","4894"
"111","org.apache.maven.artifact.repository.MavenArtifactRepository.getSnapshots ()Lorg/apache/maven/artifact/repository/ArtifactRepositoryPolicy;","4892","26976","4892"
"112","org.apache.maven.artifact.repository.MavenArtifactRepository.getAuthentication ()Lorg/apache/maven/artifact/repository/Authentication;","4085","23324","4085"
"113","org.apache.maven.RepositoryUtils.toProxy (Lorg/apache/maven/repository/Proxy;)Lorg/eclipse/aether/repository/Proxy;","3591","19764","3591"
"114","org.eclipse.aether.repository.LocalRepositoryManager.getPathForLocalArtifact (Lorg/eclipse/aether/artifact/Artifact;)Ljava/lang/String;","3340","297","3340"
"115","org.apache.maven.artifact.DefaultArtifact.selectVersion (Ljava/lang/String;)V","81152","32093","10676"
"116","org.apache.maven.artifact.DefaultArtifact.setBaseVersionInternal (Ljava/lang/String;)V","91020","40320","23195"
"117","java.util.regex.Pattern.matcher (Ljava/lang/CharSequence;)Ljava/util/regex/Matcher;","85693","86996","85693"
"118","java.util.regex.Matcher.matches ()Z","54519","86948","54519"
"119","org.apache.maven.artifact.DefaultArtifact.isSnapshot ()Z","2117","528","1329"
"120","org.apache.maven.artifact.DefaultArtifact.getBaseVersion ()Ljava/lang/String;","2989","17554","2989"
"121","java.io.File.<init> (Ljava/io/File;Ljava/lang/String;)V","14819","9732","14819"
"122","org.eclipse.aether.resolution.ArtifactRequest.<init> ()V","1395","1364","1395"
