"Number","Method","Time","Count","SelfTime"
"110","org.apache.maven.model.validation.DefaultModelValidator.<clinit> ()V","270","1","58"
"111","java.util.regex.Pattern.compile (Ljava/lang/String;)Ljava/util/regex/Pattern;","199","3","199"
"112","java.util.Arrays.asList ([Ljava/lang/Object;)Ljava/util/List;","28","3","28"
"113","org.apache.maven.model.validation.DefaultModelValidator.<init> ()V","14","1","14"
"114","org.apache.maven.model.building.DefaultModelBuilderFactory.newProfileSelector ()Lorg/apache/maven/model/profile/ProfileSelector;","6925","1","1553"
"115","org.apache.maven.model.building.DefaultModelBuilderFactory.newProfileActivators ()[Lorg/apache/maven/model/profile/activation/ProfileActivator;","5336","1","5292"
"116","org.apache.maven.model.profile.activation.JdkVersionProfileActivator.<init> ()V","12","1","12"
"117","org.apache.maven.model.profile.activation.FileProfileActivator.<init> ()V","9","1","9"
"118","org.apache.maven.model.profile.activation.OperatingSystemProfileActivator.<init> ()V","9","1","9"
"119","org.apache.maven.model.profile.activation.PropertyProfileActivator.<init> ()V","9","1","9"
"120","org.apache.maven.model.profile.activation.FileProfileActivator.setPathTranslator (Lorg/apache/maven/model/path/PathTranslator;)Lorg/apache/maven/model/profile/activation/FileProfileActivator;","3","1","3"
"121","org.apache.maven.model.building.DefaultModelBuilderFactory.newPathTranslator ()Lorg/apache/maven/model/path/PathTranslator;","727","3","717"
"122","org.apache.maven.model.path.DefaultPathTranslator.<init> ()V","10","2","10"
"123","org.apache.maven.model.profile.DefaultProfileSelector.<init> ()V","23","1","19"
"124","java.util.ArrayList.<init> ()V","7","2","7"
"125","org.apache.maven.model.profile.DefaultProfileSelector.addProfileActivator (Lorg/apache/maven/model/profile/activation/ProfileActivator;)Lorg/apache/maven/model/profile/DefaultProfileSelector;","13","4","3"
"126","java.util.List.add (Ljava/lang/Object;)Z","10","4","10"
"127","org.apache.maven.model.building.DefaultModelBuilderFactory.newModelInterpolator ()Lorg/apache/maven/model/interpolation/ModelInterpolator;","5797","1","4251"
"128","org.apache.maven.model.interpolation.StringSearchModelInterpolator.<init> ()V","1472","1","5"
"129","org.apache.maven.model.interpolation.AbstractStringBasedModelInterpolator.<init> ()V","1467","1","462"
"130","org.apache.maven.model.interpolation.StringSearchModelInterpolator.createInterpolator ()Lorg/codehaus/plexus/interpolation/Interpolator;","953","1","923"
"131","org.codehaus.plexus.interpolation.StringSearchInterpolator.<init> ()V","27","1","27"
