"Number","Method","Time","Count","SelfTime"
"112","org.apache.maven.plugin.descriptor.Parameter.getDefaultValue ()Ljava/lang/String;","1","1","1"
"113","org.apache.maven.plugin.descriptor.Parameter.getDeprecated ()Ljava/lang/String;","1","1","1"
"114","org.apache.maven.plugin.descriptor.Parameter.getExpression ()Ljava/lang/String;","1","1","1"
"115","org.apache.maven.plugin.descriptor.Parameter.getImplementation ()Ljava/lang/String;","1","1","1"
"116","org.apache.maven.plugin.descriptor.Parameter.getType ()Ljava/lang/String;","1","1","1"
"117","org.apache.maven.plugin.descriptor.Parameter.isRequired ()Z","1","1","1"
"118","org.apache.maven.plugin.descriptor.PluginDescriptor.getArtifactId ()Ljava/lang/String;","1","1","1"
"119","org.apache.maven.plugin.descriptor.PluginDescriptor.getDescription ()Ljava/lang/String;","1","1","1"
"120","org.apache.maven.plugin.descriptor.PluginDescriptor.getGroupId ()Ljava/lang/String;","1","1","1"
"121","org.apache.maven.plugin.descriptor.PluginDescriptor.getVersion ()Ljava/lang/String;","1","1","1"
"122","org.apache.maven.plugin.descriptor.PluginDescriptor.isInheritedByDefault ()Z","1","1","1"
"123","org.apache.maven.plugin.lifecycle.LifecycleXpp3ReaderTest.testLifecycleReader ()V","3","1","3"
