"Number","Method","Time","Count","SelfTime"
"182","org.apache.commons.cli.OptionBuilder.create (Ljava/lang/String;)Lorg/apache/commons/cli/Option;","824","315","824"
"183","org.apache.commons.cli.Options.addOption (Lorg/apache/commons/cli/Option;)Lorg/apache/commons/cli/Options;","922","570","922"
"184","org.apache.commons.cli.OptionBuilder.withDescription (Ljava/lang/String;)Lorg/apache/commons/cli/OptionBuilder;","133","570","133"
"185","org.apache.commons.cli.OptionBuilder.withLongOpt (Ljava/lang/String;)Lorg/apache/commons/cli/OptionBuilder;","1246","570","1246"
"186","org.apache.commons.cli.OptionBuilder.hasArg ()Lorg/apache/commons/cli/OptionBuilder;","49","180","49"
"187","org.apache.commons.cli.Options.<init> ()V","78","15","78"
"188","org.apache.maven.cli.CLIManager.parse ([Ljava/lang/String;)Lorg/apache/commons/cli/CommandLine;","8651","19","4302"
"189","org.apache.commons.cli.CommandLineParser.parse (Lorg/apache/commons/cli/Options;[Ljava/lang/String;)Lorg/apache/commons/cli/CommandLine;","4091","19","4091"
"190","org.apache.maven.cli.CleanArgument.cleanArgs ([Ljava/lang/String;)[Ljava/lang/String;","379","22","128"
"191","java.util.List.size ()I","13","19","13"
"192","java.io.File.isFile ()Z","356","14","356"
"193","org.apache.maven.cli.logging.Slf4jStdoutLogger.<init> ()V","43","13","43"
"194","java.io.File.<init> (Ljava/io/File;Ljava/lang/String;)V","46","15","46"
"195","org.apache.maven.cli.MavenCliTest$1.<init> (Lorg/apache/maven/cli/MavenCliTest;Lorg/apache/maven/eventspy/internal/EventSpyDispatcher;)V","17","1","9"
"196","org.apache.maven.cli.MavenCli.<init> ()V","53","10","27"
"197","org.apache.maven.cli.MavenCli.<init> (Lorg/codehaus/plexus/classworlds/ClassWorld;)V","26","10","26"
"198","org.apache.maven.cli.CliRequest.<init> ([Ljava/lang/String;Lorg/codehaus/plexus/classworlds/ClassWorld;)V","14524","14","12272"
"199","org.apache.maven.execution.DefaultMavenExecutionRequest.<init> ()V","2182","14","2104"
"200","org.eclipse.aether.DefaultRepositoryCache.<init> ()V","78","14","78"
"201","org.apache.maven.cli.event.ExecutionEventLoggerTest.testProjectStartedOverflow ()V","803989","1","1145"
"202","org.apache.maven.project.MavenProject$MockitoMock$1495796193.<clinit> ()V","1975","1","1007"
"203","org.slf4j.Logger$MockitoMock$1169553860.<clinit> ()V","897","1","262"
"204","org.apache.maven.execution.ExecutionEvent$MockitoMock$1651365698.<clinit> ()V","102","1","49"
"205","org.apache.maven.project.MavenProject$MockitoMock$1495796193.setMockitoInterceptor (Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;)V","4","2","4"
"206","org.apache.maven.execution.ExecutionEvent$MockitoMock$1651365698.setMockitoInterceptor (Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;)V","3","2","3"
"207","org.slf4j.Logger$MockitoMock$1169553860.setMockitoInterceptor (Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;)V","3","2","3"
"208","org.slf4j.Logger$MockitoMock$1169553860.info (Ljava/lang/String;)V","12845","16","61"
"209","org.mockito.internal.creation.bytebuddy.MockMethodInterceptor$DispatcherDefaultingToRealMethod.interceptAbstract (Ljava/lang/Object;Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;Ljava/lang/Object;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;","16723","28","16568"
"210","org.slf4j.Logger$MockitoMock$1169553860.equals (Ljava/lang/Object;)Z","116","56","59"
"211","org.mockito.internal.creation.bytebuddy.MockMethodInterceptor$ForEquals.doIdentityEquals (Ljava/lang/Object;Ljava/lang/Object;)Z","119","108","119"
"212","org.slf4j.Logger$MockitoMock$1169553860.getMockitoInterceptor ()Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;","31","58","31"
"213","org.apache.maven.cli.event.ExecutionEventLogger.projectStarted (Lorg/apache/maven/execution/ExecutionEvent;)V","10100","2","157"
"214","org.apache.maven.shared.utils.logging.AnsiMessageBuilder.strong (Ljava/lang/Object;)Lorg/apache/maven/shared/utils/logging/MessageBuilder;","3464","8","9"
"215","org.apache.maven.shared.utils.logging.AnsiMessageBuilder.strong (Ljava/lang/Object;)Lorg/apache/maven/shared/utils/logging/AnsiMessageBuilder;","3455","8","1358"
"216","org.apache.maven.shared.utils.logging.Style.<clinit> ()V","1135","1","55"
"217","org.apache.maven.shared.utils.logging.Style.<init> (Ljava/lang/String;ILjava/lang/String;)V","1080","9","70"
"218","org.apache.maven.shared.utils.logging.Style.toColor (Ljava/lang/String;)Lorg/fusesource/jansi/Ansi$Color;","833","8","22"
"219","org.fusesource.jansi.Ansi$Color.values ()[Lorg/fusesource/jansi/Ansi$Color;","794","8","794"
"220","org.fusesource.jansi.Ansi$Color.toString ()Ljava/lang/String;","10","33","10"
"221","java.lang.String.equalsIgnoreCase (Ljava/lang/String;)Z","17","39","17"
"222","java.lang.String.split (Ljava/lang/String;)[Ljava/lang/String;","1106","15","1106"
"223","java.lang.String.toLowerCase (Ljava/util/Locale;)Ljava/lang/String;","20","18","20"
"224","java.lang.System.getProperty (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","13","9","13"
"225","java.lang.Enum.<init> (Ljava/lang/String;I)V","39","18","39"
"226","java.lang.String.startsWith (Ljava/lang/String;)Z","48","109","48"
"227","org.apache.maven.shared.utils.logging.Style.apply (Lorg/fusesource/jansi/Ansi;)Lorg/fusesource/jansi/Ansi;","935","10","8"
"228","org.fusesource.jansi.Ansi.bold ()Lorg/fusesource/jansi/Ansi;","924","8","924"
"229","org.fusesource.jansi.Ansi.a (Ljava/lang/Object;)Lorg/fusesource/jansi/Ansi;","29","9","29"
"230","org.fusesource.jansi.Ansi.reset ()Lorg/fusesource/jansi/Ansi;","5","7","5"
"231","org.slf4j.Logger$MockitoMock$1169553860.isInfoEnabled ()Z","3633","4","13"
"232","java.lang.Boolean.booleanValue ()Z","6","3","6"
"233","java.lang.Boolean.valueOf (Z)Ljava/lang/Boolean;","25","6","25"
"234","org.apache.maven.shared.utils.logging.MessageUtils.buffer ()Lorg/apache/maven/shared/utils/logging/MessageBuilder;","2054","6","1921"
"235","org.apache.maven.shared.utils.logging.AnsiMessageBuilder.<init> ()V","133","6","19"
"236","org.fusesource.jansi.Ansi.ansi ()Lorg/fusesource/jansi/Ansi;","102","6","102"
"237","org.apache.maven.shared.utils.logging.AnsiMessageBuilder.<init> (Lorg/fusesource/jansi/Ansi;)V","12","5","12"
"238","org.apache.maven.execution.ExecutionEvent$MockitoMock$1651365698.getProject ()Lorg/apache/maven/project/MavenProject;","371","8","26"
"239","org.apache.maven.execution.ExecutionEvent$MockitoMock$1651365698.equals (Ljava/lang/Object;)Z","32","6","6"
"240","org.apache.maven.cli.event.ExecutionEventLogger.infoMain (Ljava/lang/String;)V","277","4","15"
"241","java.lang.Object.toString ()Ljava/lang/String;","25","6","11"
"242","org.apache.maven.shared.utils.logging.AnsiMessageBuilder.toString ()Ljava/lang/String;","14","6","8"
"243","org.fusesource.jansi.Ansi.toString ()Ljava/lang/String;","6","5","6"
"244","org.apache.maven.project.MavenProject$MockitoMock$1495796193.getPackaging ()Ljava/lang/String;","397","8","46"
"245","org.apache.maven.project.MavenProject$MockitoMock$1495796193.equals (Ljava/lang/Object;)Z","75","62","39"
"246","org.apache.maven.project.MavenProject$MockitoMock$1495796193$auxiliary$oXeRtlC5.<init> (Lorg/apache/maven/project/MavenProject$MockitoMock$1495796193;)V","12","8","12"
"247","org.apache.maven.project.MavenProject$MockitoMock$1495796193.getGroupId ()Ljava/lang/String;","325","4","62"
"248","org.apache.maven.project.MavenProject$MockitoMock$1495796193$auxiliary$Z0FGnHtW.<init> (Lorg/apache/maven/project/MavenProject$MockitoMock$1495796193;)V","10","4","10"
"249","org.apache.maven.project.MavenProject$MockitoMock$1495796193.getName ()Ljava/lang/String;","242","4","50"
"250","org.apache.maven.project.MavenProject$MockitoMock$1495796193$auxiliary$SAr0jMSG.<init> (Lorg/apache/maven/project/MavenProject$MockitoMock$1495796193;)V","26","4","26"
"251","org.apache.maven.project.MavenProject$MockitoMock$1495796193.getArtifactId ()Ljava/lang/String;","258","4","46"
"252","org.apache.maven.project.MavenProject$MockitoMock$1495796193$auxiliary$AxN5FBlN.<init> (Lorg/apache/maven/project/MavenProject$MockitoMock$1495796193;)V","11","4","11"
