"Number","Method","Time","Count","SelfTime"
"151","org.apache.maven.project.MavenProject.getProjectReferenceId (Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","292","36","113"
"152","java.lang.StringBuilder.<init> (I)V","154","50","154"
"153","java.lang.StringBuilder.append (C)Ljava/lang/StringBuilder;","105","146","105"
"154","org.apache.maven.model.Model.getArtifactId ()Ljava/lang/String;","162","258","162"
"155","java.lang.Object.equals (Ljava/lang/Object;)Z","231","58","231"
"156","org.codehaus.plexus.util.dag.Vertex.getLabel ()Ljava/lang/String;","62","77","62"
"157","org.apache.maven.artifact.ArtifactUtils.versionlessKey (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","975","103","414"
"158","org.apache.maven.project.ProjectSorter.isSpecificVersion (Ljava/lang/String;)Z","219","44","82"
"159","org.codehaus.plexus.util.StringUtils.isEmpty (Ljava/lang/String;)Z","181","52","181"
"160","java.lang.String.startsWith (Ljava/lang/String;)Z","154","190","154"
"161","org.codehaus.plexus.util.dag.DAG.addVertex (Ljava/lang/String;)Lorg/codehaus/plexus/util/dag/Vertex;","1266","57","1266"
"162","org.codehaus.plexus.util.dag.TopologicalSorter.sort (Lorg/codehaus/plexus/util/dag/DAG;)Ljava/util/List;","1254","19","1254"
"163","java.util.List.iterator ()Ljava/util/Iterator;","1946","773","1946"
"164","org.apache.maven.project.MavenProject.getBuildPlugins ()Ljava/util/List;","392","56","181"
"165","java.util.Collections.emptyList ()Ljava/util/List;","138","47","138"
"166","org.codehaus.plexus.util.dag.DAG.<init> ()V","102","20","102"
"167","java.util.Iterator.hasNext ()Z","1872","4140","1872"
"168","java.util.Iterator.next ()Ljava/lang/Object;","1237","3232","1237"
"169","org.apache.maven.project.MavenProject.getDependencies ()Ljava/util/List;","221","58","127"
"170","org.apache.maven.model.ModelBase.getDependencies ()Ljava/util/List;","73","60","46"
"171","java.util.Collection.size ()I","66","53","66"
"172","java.util.Collection.iterator ()Ljava/util/Iterator;","1537","27","1537"
"173","java.util.HashMap.<init> (I)V","67","40","67"
"174","java.util.HashMap.<init> (IF)V","53","54","53"
"175","java.util.List.add (Ljava/lang/Object;)Z","1072","1595","1072"
"176","org.apache.maven.model.Model.getParent ()Lorg/apache/maven/model/Parent;","858","43","858"
"177","java.util.ArrayList.<init> (I)V","72","25","72"
"178","org.codehaus.plexus.util.dag.DAG.getVertices ()Ljava/util/List;","34","18","34"
"179","org.apache.maven.model.Dependency.getArtifactId ()Ljava/lang/String;","16","26","16"
"180","org.apache.maven.model.Dependency.getGroupId ()Ljava/lang/String;","20","32","20"
"181","org.apache.maven.model.Dependency.getVersion ()Ljava/lang/String;","16","32","16"
"182","java.util.ArrayList.<init> (Ljava/util/Collection;)V","705","40","705"
"183","java.util.Arrays.asList ([Ljava/lang/Object;)Ljava/util/List;","309","118","309"
"184","org.apache.maven.graph.DefaultProjectDependencyGraph.getDownstreamProjects (Lorg/apache/maven/project/MavenProject;Z)Ljava/util/List;","1060","5","47"
"185","org.apache.maven.graph.DefaultProjectDependencyGraph.getSortedProjects (Ljava/util/Set;)Ljava/util/List;","676","6","70"
"186","java.util.Set.contains (Ljava/lang/Object;)Z","212","39","212"
"187","org.apache.maven.graph.DefaultProjectDependencyGraph.getDownstreamProjects (Ljava/lang/String;Ljava/util/Set;Z)V","257","16","55"
