"Number","Method","Time","Count","SelfTime"
"153","org.apache.maven.model.Parent.toString ()Ljava/lang/String;","128","1","8"
"154","org.apache.maven.model.Parent.getId ()Ljava/lang/String;","120","1","53"
"155","org.apache.maven.model.Parent.getGroupId ()Ljava/lang/String;","10","1","10"
"156","org.apache.maven.model.Parent.getArtifactId ()Ljava/lang/String;","5","1","5"
"157","org.apache.maven.model.Parent.getVersion ()Ljava/lang/String;","5","1","5"
"158","org.apache.maven.model.ExclusionTest.testEqualsNullSafe ()V","167","1","139"
"159","org.apache.maven.model.DependencyManagementTest.testToStringNullSafe ()V","166","1","46"
"160","org.apache.maven.model.LicenseTest.testToStringNullSafe ()V","161","1","52"
"161","org.apache.maven.model.ModelTest.testToStringNullSafe ()V","159","1","38"
"162","org.apache.maven.model.Model.toString ()Ljava/lang/String;","117","1","8"
"163","org.apache.maven.model.Model.getId ()Ljava/lang/String;","109","1","53"
"164","org.apache.maven.model.Model.getGroupId ()Ljava/lang/String;","6","1","6"
"165","org.apache.maven.model.Model.getArtifactId ()Ljava/lang/String;","4","1","4"
"166","org.apache.maven.model.Model.getVersion ()Ljava/lang/String;","4","1","4"
"167","org.apache.maven.model.Model.getPackaging ()Ljava/lang/String;","2","1","2"
"168","org.apache.maven.model.PluginManagementTest.testHashCodeNullSafe ()V","158","1","84"
"169","org.apache.maven.model.ActivationOSTest.testToStringNullSafe ()V","157","1","36"
"170","org.apache.maven.model.SiteTest.testEqualsNullSafe ()V","156","1","127"
"171","org.apache.maven.model.PluginExecutionTest.testHashCodeNullSafe ()V","153","1","78"
"172","org.apache.maven.model.DeveloperTest.testEqualsNullSafe ()V","148","1","112"
"173","org.apache.maven.model.IssueManagementTest.testToStringNullSafe ()V","148","1","32"
"174","org.apache.maven.model.PluginManagementTest.testEqualsNullSafe ()V","147","1","102"
"175","org.apache.maven.model.ActivationPropertyTest.testHashCodeNullSafe ()V","146","1","68"
"176","org.apache.maven.model.RepositoryPolicyTest.testEqualsNullSafe ()V","142","1","114"
"177","org.apache.maven.model.PluginExecutionTest.testToStringNullSafe ()V","140","1","111"
"178","org.apache.maven.model.PluginExecution.toString ()Ljava/lang/String;","13","1","10"
"179","org.apache.maven.model.PluginExecution.getId ()Ljava/lang/String;","3","1","3"
"180","org.apache.maven.model.OrganizationTest.testEqualsNullSafe ()V","136","1","112"
"181","org.apache.maven.model.PluginConfigurationTest.testEqualsNullSafe ()V","133","1","104"
"182","org.apache.maven.model.ReportingTest.testHashCodeNullSafe ()V","131","1","71"
"183","org.apache.maven.model.ActivationFileTest.testToStringNullSafe ()V","129","1","18"
"184","org.apache.maven.model.DependencyTest.testHashCodeNullSafe ()V","128","1","38"
"185","org.apache.maven.model.PluginExecutionTest.testEqualsNullSafe ()V","125","1","93"
"186","org.apache.maven.model.ReportSetTest.testHashCodeNullSafe ()V","125","1","66"
"187","org.apache.maven.model.ExtensionTest.testEqualsNullSafe ()V","122","1","68"
"188","org.apache.maven.model.Extension.equal (Ljava/lang/Object;Ljava/lang/Object;)Z","3","3","3"
"189","org.apache.maven.model.OrganizationTest.testHashCodeNullSafe ()V","121","1","54"
"190","org.apache.maven.model.ReportPluginTest.testHashCodeNullSafe ()V","120","1","64"
"191","org.apache.maven.model.RepositoryPolicyTest.testHashCodeNullSafe ()V","120","1","77"
"192","org.apache.maven.model.PluginContainerTest.testEqualsNullSafe ()V","118","1","102"
"193","org.apache.maven.model.ProfileTest.testToStringNullSafe ()V","116","1","35"
"194","org.apache.maven.model.Profile.toString ()Ljava/lang/String;","77","1","36"
"195","org.apache.maven.model.Profile.getSource ()Ljava/lang/String;","7","1","7"
"196","org.apache.maven.model.Profile.getId ()Ljava/lang/String;","2","1","2"
"197","org.apache.maven.model.ReportPluginTest.testToStringNullSafe ()V","112","1","40"
"198","org.apache.maven.model.PluginContainerTest.testEqualsIdentity ()V","111","1","61"
"199","org.apache.maven.model.DeploymentRepositoryTest.testHashCodeNullSafe ()V","100","1","65"
"200","org.apache.maven.model.LicenseTest.testHashCodeNullSafe ()V","98","1","58"
"201","org.apache.maven.model.MailingListTest.testToStringNullSafe ()V","97","1","31"
"202","org.apache.maven.model.ExtensionTest.testHashCodeNullSafe ()V","96","1","57"
"203","org.apache.maven.model.PluginContainerTest.testHashCodeNullSafe ()V","93","1","23"
"204","org.apache.maven.model.ScmTest.testToStringNullSafe ()V","92","1","36"
"205","org.apache.maven.model.IssueManagementTest.testHashCodeNullSafe ()V","90","1","41"
"206","org.apache.maven.model.DependencyManagementTest.testHashCodeNullSafe ()V","87","1","34"
"207","org.apache.maven.model.DeploymentRepositoryTest.testEqualsNullSafe ()V","87","1","47"
"208","org.apache.maven.model.PrerequisitesTest.testToStringNullSafe ()V","77","1","21"
"209","org.apache.maven.model.ActivationOSTest.testEqualsNullSafe ()V","76","1","58"
"210","org.apache.maven.model.ContributorTest.testEqualsNullSafe ()V","76","1","63"
"211","org.apache.maven.model.CiManagementTest.testEqualsNullSafe ()V","75","1","64"
"212","org.apache.maven.model.NotifierTest.testHashCodeNullSafe ()V","75","1","51"
"213","org.apache.maven.model.DependencyTest.testEqualsNullSafe ()V","73","1","58"
"214","org.apache.maven.model.ActivationFileTest.testHashCodeNullSafe ()V","69","1","19"
"215","org.apache.maven.model.ContributorTest.testHashCodeNullSafe ()V","68","1","26"
"216","org.apache.maven.model.DependencyManagementTest.testEqualsNullSafe ()V","68","1","54"
"217","org.apache.maven.model.RelocationTest.testToStringNullSafe ()V","67","1","26"
"218","org.apache.maven.model.CiManagementTest.testToStringNullSafe ()V","63","1","28"
"219","org.apache.maven.model.ProfileTest.testEqualsNullSafe ()V","63","1","48"
"220","org.apache.maven.model.ActivationTest.testToStringNullSafe ()V","59","1","13"
"221","org.apache.maven.model.ReportingTest.testEqualsNullSafe ()V","58","1","49"
"222","org.apache.maven.model.DeveloperTest.testHashCodeNullSafe ()V","56","1","26"
"223","org.apache.maven.model.MailingListTest.testEqualsNullSafe ()V","54","1","40"
"224","org.apache.maven.model.PluginConfigurationTest.testHashCodeNullSafe ()V","53","1","26"
"225","org.apache.maven.model.BuildTest.testEqualsNullSafe ()V","52","1","15"
"226","org.apache.maven.model.BuildTest.testToStringNullSafe ()V","49","1","10"
"227","org.apache.maven.model.ActivationOSTest.testHashCodeNullSafe ()V","48","1","15"
"228","org.apache.maven.model.ProfileTest.testHashCodeNullSafe ()V","48","1","30"
"229","org.apache.maven.model.ActivationPropertyTest.testEqualsNullSafe ()V","45","1","30"
"230","org.apache.maven.model.DistributionManagementTest.testToStringNullSafe ()V","45","1","14"
"231","org.apache.maven.model.ResourceTest.testHashCodeNullSafe ()V","44","1","22"
"232","org.apache.maven.model.ScmTest.testHashCodeNullSafe ()V","44","1","29"
"233","org.apache.maven.model.ParentTest.testHashCodeNullSafe ()V","43","1","20"
"234","org.apache.maven.model.PrerequisitesTest.testHashCodeNullSafe ()V","43","1","21"
"235","org.apache.maven.model.RelocationTest.testEqualsNullSafe ()V","40","1","33"
"236","org.apache.maven.model.ScmTest.testEqualsNullSafe ()V","40","1","28"
"237","org.apache.maven.model.RelocationTest.testHashCodeNullSafe ()V","37","1","23"
"238","org.apache.maven.model.MailingListTest.testHashCodeNullSafe ()V","36","1","18"
"239","org.apache.maven.model.IssueManagementTest.testEqualsNullSafe ()V","35","1","26"
"240","org.apache.maven.model.ActivationTest.testEqualsNullSafe ()V","34","1","25"
"241","org.apache.maven.model.ResourceTest.testEqualsNullSafe ()V","33","1","18"
"242","org.apache.maven.model.ModelTest.testEqualsNullSafe ()V","31","1","17"
"243","org.apache.maven.model.BuildTest.testHashCodeNullSafe ()V","30","1","10"
"244","org.apache.maven.model.ModelTest.testHashCodeNullSafe ()V","30","1","14"
"245","org.apache.maven.model.ExclusionTest.testHashCodeNullSafe ()V","26","1","15"
"246","org.apache.maven.model.ActivationFileTest.testEqualsNullSafe ()V","22","1","17"
"247","org.apache.maven.model.ActivationTest.testHashCodeNullSafe ()V","22","1","8"
"248","org.apache.maven.model.DistributionManagementTest.testHashCodeNullSafe ()V","19","1","9"
"249","org.apache.maven.model.DistributionManagementTest.testEqualsNullSafe ()V","18","1","12"
"250","org.apache.maven.model.CiManagementTest.testHashCodeNullSafe ()V","17","1","7"
